X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
-5.5562162,-0.25772926,0.18680221,-2.8000977,0.05072879,-0.010698923,-0.5603747,-3.071793,-2.945063,-1.9467782,0.11901416,0.16182904,2.2406578,0.22415304,-1.9071486,-1.398112,0.8637759,0.70238066,-3.213259,0.7160481,-3.5162723,-0.9961627,0.037736725,-1.5061562,-3.1454136,-0.08405905,-1.8277367,-1.7956101,0.9656484,0.77677333,-0.8161951,-2.1590652,-0.36090088,0.4954754,-0.6952725,-2.4243689,-0.8428915,1.9859346,1.3772486,-1.5722737,0.30364823,-0.6130456,0.7861635,0.21158938,2.257561,-2.3559043,-0.34103835,-0.33362314,1.4838567,1.8977044,9.575419,3.6735532
-7.209545,-7.481969,-0.16269849,8.018518,-3.0066185,-0.118051544,-2.3892748,-1.0636443,0.6554447,0.6712482,-2.3888876,0.88076335,4.733054,0.650731,-0.33264852,-2.5571764,-0.23179641,0.25095275,1.4942527,2.4762018,-0.28613895,1.8076764,-2.817162,-2.3056839,0.6890339,-0.8084997,-0.16408439,-1.8275465,1.943544,0.32675222,1.4430372,-2.8161957,0.880347,0.5891111,3.1011698,-0.61424977,-0.8185354,0.88262814,-2.6608603,0.30586377,0.67734116,1.0281669,-0.24039733,2.3965516,-1.0401542,-2.215023,0.43391156,-1.9840378,-1.5509039,-1.4963295,8.318267,11.76609
-2.69443,1.5836581,0.66311425,-2.2056456,1.7890177,1.9501418,2.0705068,-1.6064371,-0.9113034,-1.3861759,-1.8056678,0.31377026,1.3926892,-0.019088624,-3.2546523,0.9292439,1.8392836,-1.6532499,0.92019653,2.0391173,-0.36559033,-2.4187453,-0.37642306,0.096931785,-0.34171605,0.13172427,3.8992848,-0.23329222,0.62443745,-0.9622394,-1.60556,1.3457144,-2.1511948,0.37297356,0.4808387,1.9096961,-2.043001,-2.623032,0.9506785,-0.48720458,-0.90025294,0.38191414,0.5090369,-1.640044,-0.27091172,-2.021509,-1.8152698,0.541214,-0.5474137,-4.3393073,7.7581697,3.3412945
10.143307,1.3685237,-1.209826,0.7000669,2.9061637,0.036252826,-1.2728568,0.38744652,-0.8584088,0.0041399864,-2.3616552,-0.90912896,1.23482,-1.2676847,1.4173634,-0.03821856,1.3581256,0.8637103,-0.6220724,0.9537948,-2.0323381,0.8067021,0.67027897,0.53198016,-2.2799037,-0.41925052,1.0546708,0.89021724,-1.7303841,1.4918969,-1.6347123,-0.76112,0.18512371,0.19357422,0.80133003,-0.39524397,-2.5949984,-0.765384,0.35277554,-1.0586811,0.2686839,0.93012697,1.8133994,-1.3739694,1.6399989,0.3716017,0.094353676,2.2091072,1.7900965,-0.17608719,-0.52597696,0.18204746
1.1128142,8.152793,-1.3323884,4.25247,-1.963177,-5.6716566,-0.37242302,0.13612653,0.81276464,-0.10527076,-0.13018769,0.8663355,3.8696017,1.3337775,-1.4623175,-0.21347962,-0.033499315,-2.1511495,2.296936,-0.8925244,-0.22075051,-4.3917947,1.1419923,0.45589924,-0.45182568,-0.42729777,1.0423597,-0.4931807,2.1166596,-3.157073,2.108708,0.5305522,3.0452993,-1.6496962,-2.0413368,2.681517,1.7514169,-3.149615,-1.46326,-0.5952759,1.2803261,-1.4235661,1.1360912,1.2262261,-0.4497093,0.69662344,2.179434,-0.45890692,-4.956245,-0.7044597,11.426733,-0.82183886
-1.4440409,-1.943847,-0.7239852,-2.2735417,-1.7379017,0.64917964,1.5468085,1.3651639,-0.48698157,-0.14654337,-1.3895161,1.0299327,1.7884451,0.21633641,-1.1057432,0.3388961,-1.0706991,1.173579,0.4742206,1.3088236,1.2013298,-0.054726057,4.5354166,-2.4476144,-0.7145565,0.09948583,-1.0767093,-4.8329253,-6.0385766,-0.07581001,-4.8710103,2.8527327,0.33455515,0.4698466,-4.115996,-2.8048964,-1.2585744,-0.60338795,-1.0452145,-0.7275116,-1.781899,-3.3152409,4.37723,3.3133502,0.0023157103,-1.1739968,-2.000767,-0.28316513,-0.7979974,-3.5384364,9.910887,3.4496415
-5.3831406,2.2180407,0.14231546,-1.7770317,-1.5681965,0.7988859,-1.777468,0.21306188,0.53875124,-0.5409149,0.5032532,1.0630292,-2.2943587,1.2504997,-0.8477052,-0.06912471,0.54428256,-2.1701193,-0.35955012,1.0421537,1.4306715,-2.374282,-0.4637498,0.73213154,3.520423,-0.2982086,3.4624376,3.5390673,0.9027389,-1.395422,-0.71435636,0.9519057,0.9721866,0.6335241,-2.601604,0.78373796,1.3423084,1.2891301,-0.17584321,0.7047063,0.62736887,0.53237325,-1.00489,-1.369785,-0.17848405,1.1441947,-0.3693782,1.7049987,-2.623306,-1.4685261,8.997154,3.8598337
-5.054605,2.7576637,0.7630151,-1.6328382,1.11121,3.6521108,-0.1601957,-0.3648911,-1.0844132,0.60467786,0.85418785,-0.51076823,1.5927806,-0.44820243,-1.5507582,4.0587463,1.6192735,-1.2598754,1.8131503,0.50594723,0.8675695,-5.3151474,-2.1784394,-0.78586924,0.15182447,-0.41582307,-2.0171242,2.4128096,2.5470657,1.7198439,1.5223393,-0.17332293,0.6994942,1.7309577,-1.6288468,-0.7037025,-2.639424,0.6816624,0.72987103,1.73126,-2.4228394,0.8963727,1.4873701,-0.7836394,-0.5056594,-0.8589328,0.32758066,2.2677286,-2.705445,-3.3935032,9.100133,2.025038
-0.99557155,0.23817535,-0.62845373,0.7121325,0.664075,2.482759,-4.3080916,-2.1897256,-0.40077034,-2.4461775,-1.0315049,0.6557706,-0.41746503,-2.7690275,-0.94106907,-1.970957,1.367923,-1.9731137,-0.65851027,0.83760655,-0.89537853,-0.20766866,1.6457138,-0.2948037,-1.019679,0.6990584,-2.2871392,1.2240039,-2.4042745,-1.3036546,-0.015971037,0.3335064,1.0919163,-2.0076656,-1.4177452,-0.5098072,-2.3134437,0.10929759,1.3689346,-0.031343088,0.8837627,-0.38640952,0.26175725,-1.345399,0.573405,0.051095407,-0.1499943,0.9793665,2.168326,2.122696,9.2702875,1.7229968
7.003584,0.18920402,0.2394346,-2.0080714,5.061864,-1.9156518,-2.1887555,1.5392704,-2.0565424,-1.4363856,1.924533,1.4870147,-0.25264394,-1.63229,-0.94863,1.0545514,0.012936807,1.0499278,1.4465052,1.3741829,-0.2768118,2.3269522,-0.49176878,-1.140393,-1.3579665,-0.1647127,-0.10076897,1.8590238,-0.9828809,-0.26012346,1.3888056,-0.22340773,1.7567956,0.2771782,-0.31376863,1.0055627,0.4969389,-0.17963845,0.6139169,-0.33755678,1.303137,-0.09259707,1.2125733,1.1208384,-0.33582306,3.9648278,-0.70445997,-1.2077984,-1.2198013,1.0237105,0.49490055,-0.26042673
