Gene ID,mean_expr
ENSG00000251562,5.902787
ENSG00000198804,4.7514396
ENSG00000198886,4.6616406
ENSG00000198712,4.56315
ENSG00000198938,4.3106065
ENSG00000198763,4.30947
ENSG00000198899,4.3081336
ENSG00000198727,4.303657
ENSG00000166710,4.1025352
ENSG00000198888,3.5982342
ENSG00000130066,3.5034914
ENSG00000167996,3.4617631
ENSG00000198786,3.3410532
ENSG00000197956,3.2126687
ENSG00000198840,3.052263
ENSG00000124107,3.0220182
ENSG00000080824,2.9364417
ENSG00000135046,2.8220966
ENSG00000245532,2.8141177
ENSG00000133112,2.6866379
