SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	5044896	3303543
1	1101	0	0
2	1101	0	0
0	1102	5044896	3365381
1	1102	0	0
2	1102	0	0
0	1103	5044896	3374173
1	1103	0	0
2	1103	0	0
0	1104	5044896	3464938
1	1104	0	0
2	1104	0	0
0	1201	5044896	3223709
1	1201	0	0
2	1201	0	0
0	1202	5044896	3300004
1	1202	0	0
2	1202	0	0
0	1203	5044896	3331432
1	1203	0	0
2	1203	0	0
0	1204	5044896	3411219
1	1204	0	0
2	1204	0	0
0	1301	5044896	3347662
1	1301	0	0
2	1301	0	0
0	1302	5044896	3367921
1	1302	0	0
2	1302	0	0
0	1303	5044896	3430236
1	1303	0	0
2	1303	0	0
0	1304	5044896	3476350
1	1304	0	0
2	1304	0	0
0	1401	5044896	3325830
1	1401	0	0
2	1401	0	0
0	1402	5044896	3352485
1	1402	0	0
2	1402	0	0
0	1403	5044896	3423440
1	1403	0	0
2	1403	0	0
0	1404	5044896	3452191
1	1404	0	0
2	1404	0	0
0	2101	5044896	3146659
1	2101	0	0
2	2101	0	0
0	2102	5044896	3160575
1	2102	0	0
2	2102	0	0
0	2103	5044896	3198467
1	2103	0	0
2	2103	0	0
0	2104	5044896	3234946
1	2104	0	0
2	2104	0	0
0	2201	5044896	3153193
1	2201	0	0
2	2201	0	0
0	2202	5044896	3172442
1	2202	0	0
2	2202	0	0
0	2203	5044896	3222716
1	2203	0	0
2	2203	0	0
0	2204	5044896	3262111
1	2204	0	0
2	2204	0	0
0	2301	5044896	3180901
1	2301	0	0
2	2301	0	0
0	2302	5044896	3227867
1	2302	0	0
2	2302	0	0
0	2303	5044896	3248983
1	2303	0	0
2	2303	0	0
0	2304	5044896	3311547
1	2304	0	0
2	2304	0	0
0	2401	5044896	3226351
1	2401	0	0
2	2401	0	0
0	2402	5044895	3273417
1	2402	0	0
2	2402	1	1
0	2403	5044896	3303293
1	2403	0	0
2	2403	0	0
0	2404	5044896	3366314
1	2404	0	0
2	2404	0	0
