SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	5044896	3303543
0	1102	5044896	3365381
0	1103	5044896	3374173
0	1104	5044896	3464938
0	1201	5044896	3223709
0	1202	5044896	3300004
0	1203	5044896	3331432
0	1204	5044896	3411219
0	1301	5044896	3347662
0	1302	5044896	3367921
0	1303	5044896	3430236
0	1304	5044896	3476350
0	1401	5044896	3325830
0	1402	5044896	3352485
0	1403	5044896	3423440
0	1404	5044896	3452191
0	2101	5044896	3146659
0	2102	5044896	3160575
0	2103	5044896	3198467
0	2104	5044896	3234946
0	2201	5044896	3153193
0	2202	5044896	3172442
0	2203	5044896	3222716
0	2204	5044896	3262111
0	2301	5044896	3180901
0	2302	5044896	3227867
0	2303	5044896	3248983
0	2304	5044896	3311547
0	2401	5044896	3226351
0	2402	5044896	3273418
0	2403	5044896	3303293
0	2404	5044896	3366314
