SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	2636032	894679
1	1101	956787	956787
2	1101	1452077	1452077
0	1102	2659609	980094
1	1102	929057	929057
2	1102	1456230	1456230
0	1103	2644727	974004
1	1103	942836	942836
2	1103	1457333	1457333
0	1104	2664851	1084893
1	1104	924391	924391
2	1104	1455654	1455654
0	1201	2742466	921279
1	1201	870209	870209
2	1201	1432221	1432221
0	1202	2662883	917991
1	1202	916237	916237
2	1202	1465776	1465776
0	1203	2836901	1123437
1	1203	833293	833293
2	1203	1374702	1374702
0	1204	2596420	962743
1	1204	934610	934610
2	1204	1513866	1513866
0	1301	2634350	937116
1	1301	960130	960130
2	1301	1450416	1450416
0	1302	2938420	1261445
1	1302	742557	742557
2	1302	1363919	1363919
0	1303	2519447	904787
1	1303	1003636	1003636
2	1303	1521813	1521813
0	1304	2917342	1348796
1	1304	740647	740647
2	1304	1386907	1386907
0	1401	2609433	890367
1	1401	961738	961738
2	1401	1473725	1473725
0	1402	2722351	1029940
1	1402	888307	888307
2	1402	1434238	1434238
0	1403	2693007	1071551
1	1403	933933	933933
2	1403	1417956	1417956
0	1404	2648431	1055726
1	1404	918755	918755
2	1404	1477710	1477710
0	2101	2858410	960173
1	2101	775248	775248
2	2101	1411238	1411238
0	2102	2809730	925409
1	2102	804990	804990
2	2102	1430176	1430176
0	2103	2614695	768266
1	2103	962596	962596
2	2103	1467605	1467605
0	2104	2721058	911108
1	2104	843239	843239
2	2104	1480599	1480599
0	2201	2832178	940475
1	2201	809858	809858
2	2201	1402860	1402860
0	2202	2833358	960904
1	2202	778599	778599
2	2202	1432939	1432939
0	2203	2788786	966606
1	2203	801325	801325
2	2203	1454785	1454785
0	2204	2534164	751379
1	2204	974964	974964
2	2204	1535768	1535768
0	2301	2831654	967659
1	2301	778288	778288
2	2301	1434954	1434954
0	2302	2515419	698390
1	2302	1019399	1019399
2	2302	1510078	1510078
0	2303	2797756	1001843
1	2303	797487	797487
2	2303	1449653	1449653
0	2304	2531063	797714
1	2304	991257	991257
2	2304	1522576	1522576
0	2401	2805919	987374
1	2401	800699	800699
2	2401	1438278	1438278
0	2402	2697608	926130
1	2402	887797	887797
2	2402	1459491	1459491
0	2403	2733890	992287
1	2403	830380	830380
2	2403	1480626	1480626
0	2404	2502302	823720
1	2404	999520	999520
2	2404	1543074	1543074
