SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	3190221	1448868
1	1101	576361	576361
2	1101	1278314	1278314
0	1102	3273945	1594430
1	1102	523444	523444
2	1102	1247507	1247507
0	1103	3175218	1504495
1	1103	575828	575828
2	1103	1293850	1293850
0	1104	3345469	1765511
1	1104	502819	502819
2	1104	1196608	1196608
0	1201	3270264	1449077
1	1201	547705	547705
2	1201	1226927	1226927
0	1202	3305462	1560570
1	1202	538181	538181
2	1202	1201253	1201253
0	1203	3412515	1699051
1	1203	470778	470778
2	1203	1161603	1161603
0	1204	3228707	1595030
1	1204	567077	567077
2	1204	1249112	1249112
0	1301	3175931	1478697
1	1301	595762	595762
2	1301	1273203	1273203
0	1302	3436736	1759761
1	1302	474204	474204
2	1302	1133956	1133956
0	1303	3176533	1561873
1	1303	597042	597042
2	1303	1271321	1271321
0	1304	3491746	1923200
1	1304	446353	446353
2	1304	1106797	1106797
0	1401	3216757	1497691
1	1401	574880	574880
2	1401	1253259	1253259
0	1402	3296937	1604526
1	1402	524903	524903
2	1402	1223056	1223056
0	1403	3276468	1655012
1	1403	531369	531369
2	1403	1237059	1237059
0	1404	3261539	1668834
1	1404	535265	535265
2	1404	1248092	1248092
0	2101	3103537	1205300
1	2101	612114	612114
2	2101	1329245	1329245
0	2102	3702854	1818533
1	2102	430645	430645
2	2102	911397	911397
0	2103	3608669	1762240
1	2103	443838	443838
2	2103	992389	992389
0	2104	3567885	1757935
1	2104	462849	462849
2	2104	1014162	1014162
0	2201	3393037	1501334
1	2201	495647	495647
2	2201	1156212	1156212
0	2202	3052737	1180283
1	2202	637429	637429
2	2202	1354730	1354730
0	2203	3048473	1226293
1	2203	632605	632605
2	2203	1363818	1363818
0	2204	3584451	1801666
1	2204	488703	488703
2	2204	971742	971742
0	2301	3086136	1222141
1	2301	613231	613231
2	2301	1345529	1345529
0	2302	3509050	1692021
1	2302	498672	498672
2	2302	1037174	1037174
0	2303	3521166	1725253
1	2303	454859	454859
2	2303	1068871	1068871
0	2304	3457281	1723932
1	2304	494321	494321
2	2304	1093294	1093294
0	2401	3071761	1253216
1	2401	623264	623264
2	2401	1349871	1349871
0	2402	3638547	1867069
1	2402	422330	422330
2	2402	984019	984019
0	2403	3434408	1692805
1	2403	496121	496121
2	2403	1114367	1114367
0	2404	3618555	1939973
1	2404	451228	451228
2	2404	975113	975113
