"","Timepoint","Mouse"
"MOUSE_CELL_14","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_18","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_21","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_28","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_30","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_32","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_36","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_38","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_39","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_61","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_72","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_76","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_83","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_85","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_92","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_104","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_107","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_110","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_125","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_126","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_128","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_129","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_134","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_139","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_167","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_192","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_200","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_208","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_216","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_218","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_228","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_232","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_246","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_247","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_251","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_269","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_270","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_272","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_281","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_284","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_286","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_298","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_304","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_308","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_315","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_325","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_326","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_328","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_329","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_333","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_342","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_348","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_354","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_355","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_357","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_358","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_360","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_368","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_374","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_376","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_377","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_380","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_381","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_389","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_402","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_407","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_412","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_417","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_418","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_420","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_422","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_434","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_436","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_440","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_450","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_454","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_464","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_466","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_469","uninjured","uninjured_mouse_id_54"
