p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.93E-159	3.36034675711412	0.944	0.004	6.35E-155	B Cells	MS4A1
1.06E-59	2.43313351838061	0.423	0.002	3.5E-55	B Cells	IGHM
7.77E-60	2.3889997483394	0.676	0.029	2.55E-55	B Cells	CD83
2.61E-74	2.33718013400403	0.901	0.231	8.58E-70	B Cells	HLA-DRA
1.55E-63	2.30611108675688	0.746	0.064	5.08E-59	B Cells	HLA-DPB1
2.9E-69	2.26126854679653	0.479	0.002	9.53E-65	B Cells	IGKC
2.12E-82	2.24863479234352	0.972	0.338	6.98E-78	B Cells	CD74
5.43E-55	2.1553796172324	0.789	0.108	1.79E-50	B Cells	HLA-DPA1
2.38E-73	2.11618988111842	0.648	0.03	7.83E-69	B Cells	BANK1
2.38E-53	2.04622432024777	0.69	0.045	7.81E-49	B Cells	LAPTM5
1.38E-57	2.02921748273225	0.451	0.003	4.54E-53	B Cells	FCRL5
2.5E-30	1.99899087245072	0.704	0.273	8.2E-26	B Cells	TMSB4X
1.02E-34	1.96136759489551	0.732	0.191	3.34E-30	B Cells	RPS27
2.53E-30	1.93254404954822	0.521	0.047	8.32E-26	B Cells	CXCR4
4.04E-55	1.93116680737381	0.662	0.033	1.33E-50	B Cells	HLA-DQA1
9.73E-91	1.92291356058336	0.577	0.002	3.2E-86	B Cells	CD79A
1.95E-48	1.91464667961361	0.479	0.01	6.4E-44	B Cells	IRF8
1.02E-37	1.89930148171317	0.662	0.068	3.34E-33	B Cells	LCP1
2.13E-61	1.89646722827645	0.662	0.022	7.02E-57	B Cells	MEF2C
3.2E-45	1.83667925253529	0.732	0.065	1.05E-40	B Cells	PTPRC
6.73E-44	1.83552549516727	0.634	0.073	2.21E-39	B Cells	HLA-DQB1
4.1E-44	1.82043281286814	0.563	0.024	1.35E-39	B Cells	CD52
5.59E-28	1.77751820286262	0.563	0.086	1.84E-23	B Cells	RGS2
5.19E-25	1.76888557655325	0.451	0.07	1.71E-20	B Cells	ZNF331
8.97E-35	1.72047930894542	0.592	0.142	2.95E-30	B Cells	PTPN1
3.19E-25	1.7012422482138	0.606	0.152	1.05E-20	B Cells	NR4A2
4.74E-41	1.69093028568958	0.761	0.182	1.56E-36	B Cells	HLA-DRB1
6.8E-34	1.63279185727249	0.648	0.109	2.23E-29	B Cells	BIRC3
2.16E-37	1.62491656746996	0.535	0.034	7.09E-33	B Cells	CORO1A
9.34E-44	1.61672503015783	0.451	0.01	3.07E-39	B Cells	LTB
3.18E-21	1.6096678194706	0.394	0.034	1.05E-16	B Cells	RGS1
6.25E-35	1.53016143517433	0.507	0.036	2.06E-30	B Cells	PIK3AP1
5.59E-49	1.5248842525926	0.465	0.009	1.84E-44	B Cells	CD22
4.13E-24	1.52125424497034	0.437	0.045	1.36E-19	B Cells	COTL1
