p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.93e-159,3.36034675711412,0.944,0.004,6.35e-155,B Cells,MS4A1
9.73e-91,1.92291356058336,0.577,0.002,3.2e-86,B Cells,CD79A
2.12e-82,2.24863479234352,0.972,0.338,6.98e-78,B Cells,CD74
2.61e-74,2.33718013400403,0.901,0.231,8.580000000000001e-70,B Cells,HLA-DRA
2.3800000000000003e-73,2.11618988111842,0.648,0.03,7.83e-69,B Cells,BANK1
2.9e-69,2.26126854679653,0.479,0.002,9.53e-65,B Cells,IGKC
1.55e-63,2.30611108675688,0.746,0.064,5.08e-59,B Cells,HLA-DPB1
2.13e-61,1.89646722827645,0.662,0.022,7.02e-57,B Cells,MEF2C
7.769999999999999e-60,2.3889997483394,0.676,0.029,2.55e-55,B Cells,CD83
1.06e-59,2.43313351838061,0.423,0.002,3.4999999999999995e-55,B Cells,IGHM
0.0,2.49431364171321,0.706,0.034,0.0,Basal Cells,KRT5
0.0,2.29489826671638,0.595,0.089,0.0,Basal Cells,KRT15
0.0,2.19193562476896,0.61,0.02,0.0,Basal Cells,COL7A1
0.0,2.00776643577523,0.714,0.179,0.0,Basal Cells,DST
0.0,1.9073245709932,0.581,0.142,0.0,Basal Cells,EGR1
0.0,1.68563125646732,0.807,0.379,0.0,Basal Cells,FOS
0.0,1.66057218201195,0.5,0.013,0.0,Basal Cells,TP63
0.0,1.63280222654729,0.677,0.161,0.0,Basal Cells,EGFR
0.0,1.62490917487493,0.68,0.236,0.0,Basal Cells,FOSB
0.0,1.6195483839082,0.742,0.218,0.0,Basal Cells,EPAS1
0.0,1.58485034433479,0.933,0.231,0.0,Ciliated Cells,DNAH5
0.0,1.49843410497906,0.933,0.235,0.0,Ciliated Cells,SYNE1
0.0,1.49007271459834,0.894,0.172,0.0,Ciliated Cells,DNAAF1
0.0,1.48342150342553,0.846,0.135,0.0,Ciliated Cells,CFAP157
0.0,1.4736381638782,0.811,0.126,0.0,Ciliated Cells,DLEC1
0.0,1.45176620543389,0.878,0.156,0.0,Ciliated Cells,DNAH11
0.0,1.4085270237731,0.857,0.15,0.0,Ciliated Cells,DNAH3
0.0,1.39534496933648,0.894,0.375,0.0,Ciliated Cells,CAPS
0.0,1.37191729535274,0.89,0.177,0.0,Ciliated Cells,DNAH12
0.0,1.36833128265454,0.823,0.127,0.0,Ciliated Cells,CFAP100
2.8999999999999996e-289,3.26094628866022,0.972,0.23,9.529999999999999e-285,Dendritic Cells,HLA-DRA
1.2500000000000001e-272,2.94750814436984,0.972,0.337,4.1199999999999996e-268,Dendritic Cells,CD74
1.09e-255,3.31110961008874,0.915,0.062,3.59e-251,Dendritic Cells,HLA-DPB1
6.49e-241,2.94259270650155,0.923,0.18,2.13e-236,Dendritic Cells,HLA-DRB1
3.3e-213,2.97882391439007,0.915,0.106,1.0900000000000001e-208,Dendritic Cells,HLA-DPA1
1.47e-204,3.18580097341259,0.873,0.027,4.8200000000000004e-200,Dendritic Cells,CD83
3.0700000000000003e-195,2.79204432117358,0.817,0.031,1.0099999999999999e-190,Dendritic Cells,HLA-DQA1
1.8800000000000002e-166,2.60748085095516,0.775,0.072,6.19e-162,Dendritic Cells,HLA-DQB1
1.1000000000000001e-164,2.12068478171598,0.676,0.007,3.63e-160,Dendritic Cells,CD86
3.26e-157,2.71185218759125,0.676,0.013,1.0699999999999999e-152,Dendritic Cells,GPR183
0.0,2.71561380263549,0.808,0.011,0.0,Deuterosomal Cells,CDC20B
0.0,2.68887116284455,0.751,0.101,0.0,Deuterosomal Cells,CCNO
0.0,2.0963075026611,0.569,0.049,0.0,Deuterosomal Cells,HES6
1.4799999999999998e-241,1.23538223985608,0.343,0.009,4.85e-237,Deuterosomal Cells,PLK4
2.21e-231,1.32847072502399,0.348,0.012,7.28e-227,Deuterosomal Cells,FOXN4
4.54e-214,1.51484629470701,0.487,0.076,1.49e-209,Deuterosomal Cells,BTG3
8.91e-198,1.49537282130885,0.516,0.082,2.93e-193,Deuterosomal Cells,CCDC14
7.74e-191,1.16231565444399,0.324,0.015,2.54e-186,Deuterosomal Cells,E2F7
1.31e-190,1.14074387411353,0.298,0.011,4.31e-186,Deuterosomal Cells,ANLN
1.6799999999999998e-180,1.36423297462173,0.419,0.042,5.53e-176,Deuterosomal Cells,HELLS
0.0,1.7541799583344,0.397,0.07,0.0,Developing Ciliated Cells,MMACHC
0.0,1.50243033431684,0.289,0.103,0.0,Developing Ciliated Cells,SAA1
0.0,1.43522040513285,0.194,0.023,0.0,Developing Ciliated Cells,FAM166A
0.0,1.42117794415235,0.365,0.094,0.0,Developing Ciliated Cells,BEST1
0.0,1.29967084775886,0.243,0.043,0.0,Developing Ciliated Cells,AC093484.3
0.0,1.22587850691224,0.39,0.137,0.0,Developing Ciliated Cells,AGR3
0.0,1.08967705896855,0.698,0.482,0.0,Developing Ciliated Cells,CALM2
0.0,1.07023440016872,0.414,0.198,0.0,Developing Ciliated Cells,COX6A1
0.0,1.00996221299029,0.562,0.282,0.0,Developing Ciliated Cells,PIFO
0.0,0.971578310450093,0.405,0.166,0.0,Developing Ciliated Cells,RPL41
2.22e-271,1.32104762729824,1.0,0.919,7.28e-267,Developing Secretory and Goblet Cells,MALAT1
1.61e-241,1.87124708670175,0.788,0.152,5.3e-237,Developing Secretory and Goblet Cells,ADAM28
4.059999999999999e-236,1.75525004646763,0.621,0.047,1.33e-231,Developing Secretory and Goblet Cells,FAT2
1.05e-217,1.44618784139243,0.926,0.451,3.4400000000000006e-213,Developing Secretory and Goblet Cells,SRRM2
1.1699999999999999e-187,1.64461617719647,0.569,0.067,3.85e-183,Developing Secretory and Goblet Cells,FGFR3
1.88e-182,1.72700589952329,0.567,0.075,6.2e-178,Developing Secretory and Goblet Cells,CMYA5
3.75e-174,1.65903374500821,0.5,0.037,1.2300000000000001e-169,Developing Secretory and Goblet Cells,COL7A1
3.9799999999999996e-146,1.38021660296256,0.754,0.29,1.31e-141,Developing Secretory and Goblet Cells,MYOF
3.56e-143,1.2723818150142,0.783,0.315,1.17e-138,Developing Secretory and Goblet Cells,PNISR
5.77e-137,1.23348974021372,0.825,0.361,1.9e-132,Developing Secretory and Goblet Cells,RBM25
0.0,0.323760185256234,0.049,0.182,0.0,Enteroendocrine Cells,TBC1D9B
1.47e-130,3.40909845246022,1.0,0.002,4.82e-126,Enteroendocrine Cells,BX539320.1
2.25e-77,3.04382546291018,0.756,0.003,7.4e-73,Enteroendocrine Cells,AC098936.1
3.4800000000000005e-77,3.08701064703326,0.78,0.007,1.14e-72,Enteroendocrine Cells,CTBP1-AS
1.67e-76,3.03055253993321,0.829,0.018,5.490000000000001e-72,Enteroendocrine Cells,SENP3
1.9e-76,2.92473289833321,0.707,0.04,6.240000000000001e-72,Enteroendocrine Cells,PKN1
1.67e-73,2.66691603550822,0.854,0.155,5.5e-69,Enteroendocrine Cells,SEC11A
6.61e-68,2.73242607344043,0.683,0.061,2.17e-63,Enteroendocrine Cells,MRPL48
1.77e-67,2.80294034204929,0.707,0.048,5.83e-63,Enteroendocrine Cells,POFUT1
2.63e-67,2.802407190447,0.634,0.016,8.63e-63,Enteroendocrine Cells,PIGZ
0.0,4.9218474799407,0.958,0.012,0.0,Erythroblasts,HBB
0.0,2.36325731152757,0.35,0.001,0.0,Erythroblasts,HBA2
0.0,1.32557173405865,0.932,0.571,0.0,Erythroblasts,MTRNR2L12
0.0,0.759549844612697,1.0,0.967,0.0,Erythroblasts,MT-CO1
2.32e-305,0.663108401424275,0.998,0.967,7.63e-301,Erythroblasts,MT-ND5
1.31e-286,0.553342907127403,1.0,0.985,4.309999999999999e-282,Erythroblasts,MT-ND4
1.93e-280,1.58517374447164,0.713,0.472,6.360000000000001e-276,Erythroblasts,MTRNR2L1
3.88e-260,0.606437072616247,0.999,0.977,1.28e-255,Erythroblasts,MT-ND2
3.0100000000000004e-248,0.682150612151138,0.991,0.943,9.889999999999999e-244,Erythroblasts,MT-ND1
1.8799999999999997e-244,0.644224208700256,0.995,0.963,6.19e-240,Erythroblasts,MT-CYB
0.0,1.9486500517206,0.428,0.086,0.0,Goblet Cells,MUC5AC
0.0,1.91627956474506,0.609,0.084,0.0,Goblet Cells,PI3
0.0,1.7552860735352,0.582,0.138,0.0,Goblet Cells,BPIFB1
0.0,1.72038632245199,0.749,0.182,0.0,Goblet Cells,VMO1
0.0,1.666107613208,0.796,0.226,0.0,Goblet Cells,SERPINB3
0.0,1.62023235229278,0.875,0.465,0.0,Goblet Cells,WFDC2
0.0,1.60025802444179,0.553,0.109,0.0,Goblet Cells,RARRES1
0.0,1.59050517012304,0.816,0.444,0.0,Goblet Cells,PSCA
0.0,1.49427291760496,0.719,0.177,0.0,Goblet Cells,AQP5
0.0,1.43198447395904,0.918,0.597,0.0,Goblet Cells,SLPI
0.0,2.62365302284971,0.702,0.041,0.0,Ionocytes,RARRES2
0.0,2.6185190972925,0.787,0.008,0.0,Ionocytes,ADGRF5
0.0,2.60007036453724,0.799,0.021,0.0,Ionocytes,CFTR
0.0,2.58927014517403,0.812,0.009,0.0,Ionocytes,STAP1
0.0,2.58393281865547,0.782,0.064,0.0,Ionocytes,SCNN1B
0.0,2.36986970346542,0.727,0.005,0.0,Ionocytes,CLCNKB
0.0,2.20413251076089,0.769,0.041,0.0,Ionocytes,ITPR2
0.0,2.08666854128093,0.619,0.004,0.0,Ionocytes,ASCL3
0.0,2.06354430563005,0.687,0.012,0.0,Ionocytes,ANK2
0.0,1.9433061515729,0.599,0.012,0.0,Ionocytes,IGF1
