gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
GSTP1,2.23008860485391E-05,0.693285357072257,0.33,0.338,1,0
ARGLU1,7.27895861898746E-05,0.639233802964541,0.253,0.355,1,0
ELF3,0.000336456697566382,0.907017931230938,0.253,0.256,1,0
CD63,0.00135341985583387,0.90251553873654,0.267,0.283,1,0
MTND2P28,0.0018454194800785,0.642689369918006,0.202,0.269,1,0
PRDX1,0.00459664264183464,0.47469961451583,0.234,0.306,1,0
ANXA1,0.00553916495870474,0.585822149232896,0.301,0.32,1,0
MT-ATP8,0.00781890867445404,0.757053239511821,0.368,0.447,1,0
HSP90B1,0.000307514329448579,0.381275828174794,0.389,0.378,1,2
RPL36AL,0.00650420022364429,0.575536313575562,0.275,0.261,1,2
AKAP91,0.00660598250039627,0.533208223737095,0.34,0.334,1,2
BRD22,2.26353959101215E-05,0.886005614323378,0.348,0.348,1,6
RPS132,2.31488314941866E-05,0.76975645039939,0.357,0.372,1,6
HSP90AA11,2.52413198496541E-05,0.513306414064276,0.622,0.662,1,6
PFDN52,3.19333123706411E-05,0.254898426319821,0.248,0.352,1,6
RBM392,3.23829868721459E-05,0.414207711659297,0.208,0.305,1,6
ARID4B2,6.06455659116858E-05,0.327573788935327,0.185,0.266,1,6
NUCKS12,7.27128132150961E-05,0.385427722458601,0.176,0.254,1,6
RPL262,8.5476727202698E-05,0.867006945672466,0.34,0.353,1,6
RPL272,0.000122240641402251,0.994873084497685,0.299,0.297,1,6
RPS162,0.000182435388319215,0.779954733703746,0.313,0.315,1,6
SFPQ2,0.000746869124181801,0.500570590269977,0.224,0.314,1,6
HNRNPA2B12,0.000876485814183754,0.30241729857754,0.279,0.389,1,6
HLA-B2,0.00188283513692445,0.261624044399579,0.577,0.611,1,6
PRRC2C3,0.0040432778506202,0.32747912698271,0.292,0.388,1,6
CFL12,0.0047981801937297,0.834761041789339,0.252,0.252,1,6
DNAJA11,0.00572244039301759,0.491509137228745,0.216,0.288,1,6
RPL172,0.00637168416494158,0.942765745736972,0.275,0.287,1,6
RPL352,0.00637493115240844,0.661059889850079,0.32,0.334,1,6
COX4I12,0.00717641312406116,0.423936043827313,0.209,0.275,1,6
RPL132,0.00972942178369915,0.81478883990003,0.271,0.279,1,6
EIF12,0.00998659723535043,0.738675424191001,0.292,0.301,1,6
LRRFIP11,2.53161298789244E-05,0.438408406600759,0.338,0.256,1,7
CSDE13,3.5765546542481E-05,0.301044102373016,0.312,0.225,1,7
HNRNPA2B13,5.24038618661596E-05,0.309923366285044,0.462,0.376,1,7
RPL36AL3,5.58007233448052E-05,0.502239072964806,0.348,0.26,1,7
EIF3A2,0.000214892506880407,0.435237124977972,0.306,0.232,1,7
HNRNPDL2,0.000592577415674465,0.410167114162996,0.265,0.2,1,7
RPL152,0.000768489805696037,0.380577730823095,0.338,0.262,1,7
ANKRD122,0.00124847569416073,0.268914159709156,0.3,0.233,1,7
SUPT5H1,2.88764337891395E-05,0.254394348463122,0.282,0.138,1,8
PNISR2,3.01981179729407E-05,0.319654849190805,0.452,0.251,1,8
RPL35A4,4.62398481138704E-05,0.380793902699458,0.685,0.441,1,8
SMCHD11,0.000242011879805118,0.441166190774551,0.306,0.165,1,8
PRRC2C4,0.000370490499344607,0.359072946341709,0.613,0.376,1,8
KMT2C1,0.00131970062597607,0.406948625505636,0.258,0.144,1,8
CHMP2A1,2.43823973157343E-05,0.623943141956713,0.261,0.128,1,9
HSP90B13,3.47810275822308E-05,0.629650782470286,0.529,0.378,1,9
MACROH2A12,3.74442292999889E-05,0.591527096035519,0.286,0.148,1,9
NDUFA132,4.4703086205883E-05,0.976609664981575,0.345,0.196,1,9
MTDH3,4.6880097681628E-05,1.27840197193149,0.319,0.181,1,9
CLDN42,5.13689113731033E-05,0.839439834860466,0.286,0.15,1,9
PARK71,5.44601701930666E-05,0.724632732759007,0.269,0.14,1,9
YWHAE1,5.49126610249384E-05,0.828563763890938,0.303,0.164,1,9
NCL3,5.56683999530909E-05,0.81274718674808,0.496,0.345,1,9
SLC25A52,5.78288133515418E-05,0.83197491580197,0.269,0.14,1,9
ATF43,6.31038849202498E-05,0.630166975075212,0.437,0.271,1,9
SOD11,6.99570288769376E-05,0.712747677253028,0.361,0.209,1,9
XRCC52,7.89330669650091E-05,0.752408486015528,0.294,0.16,1,9
DUSP12,7.90227574634341E-05,0.824962620635072,0.336,0.196,1,9
ATP5F1B2,8.16046048888688E-05,0.925337749457024,0.336,0.196,1,9
IQGAP12,9.50595746548032E-05,1.16735712074106,0.328,0.196,1,9
EIF3A4,0.000123823203021151,0.7685224180587,0.378,0.233,1,9
ARF14,0.00015160207857052,0.801644546070149,0.261,0.14,1,9
OPTN1,0.000178585751494099,0.531530790353698,0.294,0.163,1,9
COX6C1,0.000188592836380785,0.868337731544984,0.328,0.192,1,9
PSMA72,0.000204200797165549,0.687475113821048,0.303,0.172,1,9
ACTG14,0.000215186287322414,0.438036771904515,0.571,0.406,1,9
HSPA1A2,0.000231108721455127,0.46312329323198,0.353,0.208,1,9
COX7B,0.000407714541717778,0.670424351375995,0.277,0.156,1,9
LDHB2,0.000422532177434156,0.98364418403659,0.261,0.148,1,9
MATR33,0.00044319369181038,0.580479836846997,0.319,0.19,1,9
SYNE21,0.000463902312633396,0.804023026340778,0.471,0.324,1,9
CAPN22,0.000520693663268561,0.729887316098023,0.303,0.175,1,9
FTH12,0.000523513426586997,0.35492570907622,0.563,0.398,1,9
ITM2B2,0.000538034494712587,0.528196379441632,0.319,0.19,1,9
CLTA2,0.000575238611703482,0.679420343078031,0.277,0.157,1,9
MTATP6P11,0.000674054617415062,0.534347909679313,0.571,0.415,1,9
